publication_date,Post_Text,Impressions,Engagements,Reactions,Shares
4/4/2021,"SNAP continues to pop! The supplemental nutrition assistance program’s online ordering initiative has, throughout the pandemic, continued to expand and is now available in 47 states. Read Take On Payments to learn more. #EveryonesEconomy  https://bit.ly/3mawreT",551,12,7,0
4/5/2021,"The pandemic has challenged #SmallBiz owners immensely, and #CDFIs and minority depository institutions have put in the work to meet their extraordinary needs. 

Join #FedCommunities on Thursday, April 8, at 3 p.m. (ET) for the next Connecting Communities webinar, A Year of Crisis, and Now What? Where Our Main Streets Go from Here. This live panel discussion will include minority small-business owners and community lenders who will talk about their experiences during the pandemic. Register now: http://bit.ly/next4mainst",621,24,14,4
4/7/2021,"After a tumultuous year of pandemic retrenchment, regional business contacts feel they might be seeing the light at the end of the tunnel. This Economy Matters article summarizes recent conversations to learn more about what business leaders are seeing. https://bit.ly/3cSRSxR #ATLFedREIN",591,27,10,4
4/8/2021,"As the number of digital payments grows, so does online criminal activity. Read Take On Payments to learn about a new Fed white paper offering knowledge about new industry specifications and protocols designed to battle online fraud. https://bit.ly/3uoc1ll",376,8,6,1
4/9/2021,"Racism and the Economy: Focus on the Economics Profession is the next installment of our virtual series and will focus on how racism affects the people and practice of economics. 

Leaders from the public, nonprofit, and academic sectors will discuss the factors that contribute to the underrepresentation of people of color in economics as well as strategies to increase inclusion at every level, from recruitment and hiring to mentoring and publishing.

The event, hosted by all 12 regional Reserve Banks of the Federal Reserve System, is on April 13 at 12 p.m. ET. 

For full event information and to register, visit: https://bit.ly/3dfbTOc",1001,49,25,10
4/9/2021,#atlfedREIN hosted the Energy Advisory Council meeting last week.,404,14,8,2
4/9/2021,"The latest  CFO Survey results show that CFOs are increasingly optimistic about their own firms, with average optimism at 73.2 on a scale of 0 to 100. See all the results from the survey now: http://bit.ly/TheCFOsurvey.  

#TheCFOsurvey is a partnership between the Federal Reserve Bank of Richmond, Federal Reserve Bank of Atlanta, and Duke University - The Fuqua School of Business to better understand the economic outlook of business decision makers.",990,35,16,1
4/10/2021,"The pandemic hit office markets hard and has raised many questions about the future of office space. Using the Atlanta Fed CREMI tool, this Economy Matters article examines recent trends and what they could mean down the road.  https://bit.ly/3dphH7U",679,25,10,0
4/11/2021,April is Financial Literacy Month. Calculate how much income you will need to provide for a financially stable retirement with these #financialtips: https://bit.ly/3cKuHG9,478,20,11,0
4/11/2021,How might bank supervision interfere with the implementation of monetary policy? This Policy Hub article examines three recent cases of such interference and discusses possible changes to supervision. https://bit.ly/2P7Orup,450,19,5,0
4/12/2021,"In the first-quarter 2021 edition of Economy Matters’ “ViewPoint,” Mike Johnson of the Atlanta Fed’s Supervision, Regulation, and Credit Division discusses supervisory updates and regional banking conditions. https://bit.ly/3dJ4Z3W",348,6,5,0
4/12/2021,"The Atlanta Fed occupies a crucial role in the nation’s payments system, and here’s an opportunity to play an important role in it! We’re looking for a performance architect to work in our Retail Payments Office (RPO). 

The right person for this position will assist the RPO in planning, developing, executing, and analyzing application performance and tests associated with the automated clearinghouse and checks. The performance architect will assist with performance test life-cycle activities associated with complex, large-scale integration projects. You’ll work in an agile environment, and you’ll collaborate with a team, so strong interpersonal skills are a must! If you have progressive information technology experience directly related to enterprise software development and architecture/engineering, with at least two years of specific expertise in performance testing, let’s talk! Experience with Shell Scripting, AIX/UNIX/Linux, SQL, and software editing tools is especially important. (And having information security certification is a plus.) 

Apply at https://bit.ly/32SdpyS. Refer to job number 267748.",479,16,5,0
4/12/2021,It's Money Smart Week! ?? This week-long free virtual campaign aims to help people better manage their personal finances with a focus on those hardest hit by the COVID-19 pandemic. Learn more: https://bit.ly/3ddhTIu ,654,27,14,1
4/13/2021,Is today your rainy day? This educator webinar will share free classroom-ready resources and focus on preparing for financial emergencies and helping to prevent those rainy days. https://bit.ly/3sdpN8Q,305,7,5,1
4/13/2021,"?? We just updated our #MAPD tool.

? New features: race and income information and updated data from December 2020.

?? Insights: areas with higher shares of minorities have seen elevated rates of mortgage forbearance and delinquency during the pandemic. https://bit.ly/3dVAec9",561,29,9,3
4/14/2021,NULL,2012,93,43,0
4/14/2021,?? Excited to announce the signing of a memorandum of understanding with The Greater Fort Lauderdale Alliance to expand economic mobility in areas within Broward County. Learn more: https://bit.ly/2Q1pKQF #EveryonesEconomy,348,19,7,2
4/14/2021,"Last year, the CARES Act expanded the unemployment insurance (UI) program to address system-wide shortcomings, but these new measures revealed long-term challenges in the UI system. Workforce Currents contextualizes these challenges and explores potential solutions. https://bit.ly/3wDx5WY",308,15,12,1
4/15/2021,What impact have a reopening economy and a fresh round of stimulus had on firms’ expectations? A Policy Hub: Macroblog post consults new survey data to look at the near-term outlook. https://bit.ly/3mtILXW,418,20,9,2
4/17/2021,"Do you lead a #CDFI? Take the Fed’s 2021 CDFI survey! 

Share your story to help policymakers understand how your organization and community are faring and how policies and other initiatives may be able to help. https://bit.ly/39RbEYQ

",398,9,6,1
4/18/2021,"How much would you pay to own a digital file representing a piece of art? Some nonfungible tokens, or NFTs, have been fetching eye-popping sums. Read Take On Payments to learn about the hype and the pitfalls. https://bit.ly/3uLgMFV",750,32,10,0
4/19/2021,See Federal Reserve Board Governor Bowman's message in the latest Community Banking Connections about how community banks can succeed. https://bit.ly/3dYag82,671,22,10,0
4/19/2021,"Firms’ inflation expectations for the coming year are relatively unchanged from last month at 2.5 percent, and firms’ sales levels compared to ""normal times"" improved significantly, according to the Atlanta Fed’s latest Business Inflation Expectations survey. https://bit.ly/3e50xNl",495,10,4,0
4/20/2021,Is the coronavirus finally loosening its grip on the regional economy? This Economy Matters article discusses the latest Beige Book report on economic conditions in the region. https://bit.ly/2PXlwcZ #atlfedrein,383,11,7,2
4/21/2021,"#CDFI leaders, it is your last chance to make your voice heard through the Federal Reserve’s 2021 CDFI Survey. Help the Fed better understand and meet the critical needs of CDFIs. Be sure to submit your response by May 14. https://bit.ly/39RbEYQ",376,15,10,1
4/22/2021,Help student find their paths to future success. This educator webinar will feature free classroom-ready resources to engage students as they begin to envision their personal success. https://bit.ly/3xbfzd5,543,24,14,2
4/23/2021,"ICYMI: We’re excited to announce the agenda and speakers for our 2021 Financial Markets Conference, “Fostering a Resilient Economy and Financial System: The Role of Central Banks.”https://bit.ly/38WgQKD #FedFMC",494,22,12,0
4/26/2021,"Where a person lives matters—a zip code can often predict a person’s economic, health, education, and life outcomes. See Raphael Bostic discuss why fair housing matters, reflecting on the legacy of housing discrimination. https://lnkd.in/dAZ6Cu9 #FHM2021 #FairHousingMonth",3728,229,109,12
4/28/2021,"Black- and Hispanic-owned firms were half as likely to be fully approved for financing as white-owned firms, finds the Federal Reserve’s Small Business Credit Survey: 2021 Report on Firms Owned by People of Color. Even among firms with good credit scores, Black-owned firms were half as likely as white-owned firms to be fully approved.

The report also reveals that white-owned firms with a high or medium credit risk were approved for full financing at nearly the same rate as low-credit-risk businesses with Black and Hispanic owners.  

Understanding the differences among Black-, Asian-, and Hispanic-owned small businesses can help policymakers address their unique needs and implement programs to support economic recovery post-pandemic. What kind of small-business support do you think is needed?

To read the full report, visit: https://lnkd.in/dS-nJUP
",866,23,13,0
4/29/2021,Kids’ financial education shouldn’t wait until high school. Early learning about money and payment systems fosters conversations and increases financial knowledge. Read Take On Payments to learn more. https://bit.ly/3eyeROv #EveryonesEconomy,911,44,23,2
4/30/2021,We’ve extended the deadline for the Fed’s CDFI Survey to May 14. Submit a response for your #CDFI today! https://bit.ly/39RbEYQ,478,15,7,1
5/1/2021,"As the virus and unemployment persist, many people are at risk of long-term economic distress. Our latest #AmericanVoicesProject report examines material hardship during the pandemic. https://lnkd.in/d8yYpnD #EveryonesEconomy",1030,46,14,1
5/3/2021,"The Federal Reserve Bank of Atlanta, Federal Reserve Bank of Boston, and the Stanford Center on Poverty and Inequality are cosponsoring a new series of reports, Monitoring the Crisis: American Voices Project. 

Read Partners Update to learn about this national qualitative study that is monitoring the effects of the COVID-19 crisis on everyday life and provides real-time reporting on how the country is faring, with a special focus on people of color, the low-income population, and other groups that are being disproportionately affected. https://bit.ly/3e5u3nj #EveryonesEconomy
",785,26,11,0
5/5/2021,NULL,849,28,9,0
5/6/2021,"Household financial well-being is crucial to an inclusive and resilient recovery for the whole economy. Join the Atlanta Fed’s Community and Economic Development team on Thursday, May 13, at 1 p.m. (ET) for the next webinar in our Inclusive and Resilient Recovery series. 

National and regional experts will discuss both what is meant by household financial well-being and the systems-level strategies that could improve it across the region. 
https://bit.ly/3u3E2yW 

#EveryonesEconomy #InclusiveandResilientRecovery
",486,21,10,1
5/7/2021,"The Markle Foundation's Rework America Alliance, of which the Atlanta Fed is a member, has announced regional partnerships to help unemployed workers move into good jobs by working with local community-based organizations. 

This is an important step forward in scaling our Alliance work nationally and fostering an inclusive economic recovery. Click here to learn more about the organizations contributing to this work: https://bit.ly/2PU62WT
",353,9,4,0
5/7/2021,"? Tune in to Raphael Bostic’s commencement address at Jacksonville University's Davis College of Business tomorrow, May 8, at 9 a.m. (ET). Watch live here: https://bit.ly/3b9Mu8C",927,32,22,1
5/8/2021,"Don’t forget to set May 17-18 on your calendar for #FedFMC 2021, our marquee policy and research event. Sign up for conference info, check out the agenda, and more: https://bit.ly/3gXIvj3",523,19,11,1
5/9/2021,"In globally interconnected economies, developments elsewhere in the world can affect domestic U.S. bond yields. A new Policy Hub: Macroblog looks at recent dynamics to determine factors at work in the bond market. https://bit.ly/3tjXZ3e",554,22,9,0
5/11/2021,Achieving the dream of home ownership is becoming more challenging as prices continue to rise. This Economy Matters article explores factors behind housing affordability’s recent decline. https://bit.ly/3tkZazD,758,28,14,1
5/12/2021,Learn how labor policy can support workers by creating career pathways during this Ask Us Anything webinar on May 19. The conversation will focus on the changes needed for a more efficient workforce development system. https://bit.ly/3tfiT3y,518,19,5,0
5/12/2021,"The COVID-19 pandemic, e-commerce, and other challenges have contributed to rising retail mall vacancy rates. This Economy Matters article examines reasons behind this trend and prospects for repurposing retail mall space. https://bit.ly/3eZzLX7",596,10,5,0
5/13/2021,Modern problems sometimes require old-fashioned solutions. Read Take On Payments to find out what ancient device finance professionals are using to fight business email compromise. https://bit.ly/3vLwAcf,443,9,3,0
5/14/2021,"The Atlanta Fed is an important part of the U.S. payments system, and we’re looking for someone to be a key part of it! The vice president, app delivery services of the Atlanta Fed’s Retail Payments Office (RPO) must possess a strong technical and people leadership background and be experienced in leading engineering solutions for cloud-based, distributed architecture, and in leading product management using the agile framework. This person will help ensure that RPO IT functions, processes, and priorities are aligned with RPO business goals and strategies. Apply at https://bit.ly/32SdpyS. Refer to job number 268365.",835,49,15,2
5/14/2021,"?? Proud to announce the formation of the Special Committee on Payments Inclusion, a new group that will work to advance access to safe and inclusive payments for all. https://bit.ly/2RVxggl #EveryonesEconomy #PaymentsInclusion ",1349,100,29,6
5/14/2021,"The #atlfedREIN Birmingham Branch has established a Student Ambassador Program to engage high school students with the Atlanta Fed's goals of financial and economic education. Thank you to the participants, Birmingham City Schools, and Birmingham Education Foundation.

Learn more about #atlfedREIN's Birmingham Branch: https://bit.ly/3ydApsA",1365,77,33,4
5/15/2021,"Forecasting economic outcomes is challenging even under normal circumstances, and in the pandemic, it has become even more difficult. A Policy Hub: Macroblog post looks at the recent performance of GDPNow as an illustration of the challenge. https://bit.ly/3f7vzo7",560,16,10,0
5/15/2021,Payments and commerce have seen wondrous changes over the past twenty years. Take On Payments remembers one shopping experience kids today may never experience. https://bit.ly/3vTob6C,566,12,7,1
5/18/2021,Don’t let yourself get reeled in! Phishers often simply throw out a baited hook to see what bites they get. Read Take On Payments for what it takes not to be the catch of the day. https://bit.ly/3bxZvsC,593,15,7,0
5/19/2021,"Using American Recovery and Reinvestment Act data, the authors of this working paper show that firms use their political connections to win stimulus grants and that public expenditure, when channeled through politically connected firms, hinders job creation. https://bit.ly/3tW6RwB",587,25,8,2
5/19/2021,"Our summer #interns have started at the Bank! For the second consecutive year, we are welcoming our #atlfedinterns remotely. We're excited for them to come on board. Learn more about Atlanta Fed careers: https://bit.ly/3frEKjn",2744,191,77,7
5/20/2021,NULL,900,33,13,0
5/20/2021,NULL,0,0,0,0
5/20/2021,"ICYMI, Raphael Bostic recently delivered the commencement address at Jacksonville University's Davis College of Business.

?? Read: https://bit.ly/3tBoxx2
?? Watch: https://bit.ly/2R6oMmA

Photos: Laura Evans Photography",4574,380,99,3
5/21/2021,"Just as the government mobilized a massive economic effort during WWII, the effort to manage the COVID-19 pandemic is enormous. What parallels can be drawn between then and now? This Policy Hub article looks at some economic implications to answer this question. https://bit.ly/3tYzIA4",626,19,9,0
5/21/2021,"ICYMI: In a March webinar, Atlanta Fed and Federal Reserve Bank of Kansas City Community and Economic Development staff summarized findings from the Small Businesses of Color Recovery Guide. Guest speakers discussed their experiences as entrepreneurs or funders of small businesses of color. See all the webinar materials: https://bit.ly/341ZVTY #EveryonesEconomy",749,24,13,0
5/22/2021,"A year into the pandemic, expectations of what a “return to the workplace” looks like may have changed for businesses and their employees. This Policy Hub: Macroblog post examines office-using employment, vacancy rate, and rental rate trends. https://bit.ly/2Rww0Av",643,17,10,1
5/25/2021,Vulnerable Americans need access to workplace skills and opportunities that will prevent them from falling further behind. This Workforce Currents article in the Leading Workforce Resurgence series considers pathways to closing the “opportunity divide.” https://bit.ly/3hlg6DB #EveryonesEconomy,707,25,15,0
5/26/2021,"Money, and conflicts over money, are significant stressors. Take On Payments suggests mindfulness as a helpful tool for reducing stress when transactions become tangled. https://bit.ly/3bKrMfF",611,18,8,0
6/1/2021,"Join the 12 Federal Reserve District Banks for the sixth installment of the virtual series #RacismandtheEconomy, which examines the impacts of racism on #entrepreneurs of color. Join us on June 2, 12 p.m. ET. https://bit.ly/3oPKfws",1043,44,22,0
6/2/2021,Listen to this episode of the #WorkforceRealigned podcast series featuring Federal Reserve Bank of Atlanta president Raphael Bostic and Federal Reserve Bank of Minneapolis president Neel Kashkari. Both leaders discuss how we can realign the #workforcedevelopment system to focus on outcomes vs. outputs: https://bit.ly/2ShpttK,835,32,19,0
6/3/2021,"??  TODAY at 12:30pm ET: Join us virtually for the launch event of #WorkforceRealigned—a new book from Social Finance, Federal Reserve Bank of Atlanta, and Federal Reserve Bank of Philadelphia on innovative #workforcedevelopment.

Register today: https://bit.ly/33LEzKy 

#publicpolicy #policy #futureofwork",1016,66,22,6
6/3/2021,"How do we unlock experience-based job progression for millions of workers?

New insights from the Rework America Alliance describe actions we can take to build a more inclusive economy--and power an equitable recovery from the pandemic--by recognizing the capabilities acquired by workers through experience, particularly those workers who do not have a four-year college degree.

Check out the new insights and tools here: https://bit.ly/3fJ1cpK

#EveryonesEconomy
",755,22,10,0
6/5/2021,"The Atlanta Fed recently concluded its annual Financial Markets Conference. A new Policy Hub: Macroblog post summarizes some of the discussions, which delved into the role of central banks in fostering a resilient economy. https://bit.ly/3fElq3D",718,25,15,0
6/5/2021,"Exploring one aspect of the trade shock brought on by WWI, the author of this working paper finds that the demand shock that emanated from belligerent countries caused drastic increases in wages and consumer prices, as well as a reallocation of labor, in neutral Spain. https://bit.ly/2SRoIrG",307,6,5,0
6/6/2021,The COVID pandemic scrambled the calculus of many industries. Was the retail real estate market among them? A new Policy Hub: Macroblog looks at recent data to determine how retail real estate has fared. https://bit.ly/3g3WqBR,589,12,6,1
6/6/2021,"E-commerce is altering consumer purchase behavior and fueling higher demand for industrial space in the United States, but momentum may be changing. This article examines possible causes behind an emerging rise in vacancies. https://bit.ly/34DzvrP",551,10,7,0
6/7/2021,Have boomers taken to shopping online more since the pandemic began? How do they compare to millennials? Read Take On Payments to learn what the 2020 Survey of Consumer Payment Choice says about the changing payment behaviors of different generations. https://bit.ly/2RY4ah3,512,15,4,1
6/7/2021,Students from disadvantaged backgrounds face especially steep odds of gaining a foothold in the professional world. This Economy Matters article looks at some programs seeking to level the playing field. https://bit.ly/2RcLJop #EveryonesEconomy,588,29,18,1
6/8/2021,Rising prices and shrinking inventories are among the factors making home ownership less affordable for median-income households. This article discusses the Home Ownership Affordability Monitor’s newest findings. https://bit.ly/3phnaDc,265,5,4,0
6/8/2021,Are wage pressures among the newly employed in low-wage service occupations the result of normal economic forces? This Policy Hub article examines how these pressures reflect demand surges for workers in occupations particularly hard hit by pandemic-induced economic shutdowns. https://bit.ly/34Mur4u,279,7,5,1
6/9/2021,"Using individual-level data from the Current Population Survey, the authors of this working paper develop a novel method to project location-specific life-cycle wages for all occupations listed in the Occupational Outlook Handbook from the U.S. Bureau of Labor Statistics. https://bit.ly/3yWF82m",0,0,0,0
6/9/2021,Read a new paper about eviction filings that occurred during the pandemic in the Atlanta metro area. The authors find that a neighborhood’s racial composition and median income serve as strong indicators of pandemic eviction filings. https://bit.ly/3uPpdPY #EveryonesEconomy,842,36,12,4
6/10/2021,What’s behind the reduction in credit card debt in 2020? Read Take On Payments to learn what the Atlanta Fed’s Survey of Consumer Payment Choice and the Federal Reserve’s Survey of Household Economics and Decisionmaking can tell us. https://bit.ly/3g0knvf,494,17,7,1
6/10/2021,"Although some employers are facing challenges hiring workers, most expect the labor market to loosen later this year. This Economy Matters article looks at this and offers other economic observations drawn from the latest Beige Book report on economic conditions in the region. https://bit.ly/2SSKafL #ATLFedREIN",0,0,0,0
6/11/2021,"A safe and efficient payments system is one of the Atlanta Fed’s top priorities, and we’re looking for the right person to help us keep it that way. The platform engineer, who will work within our Retail Payments Office, will help manage components and functions in the development and support areas. This person will also direct analysts and/or developers regarding the development and implementation of automated solutions for existing and new systems.

If you can perform research activities with a focus on complex business systems, automated systems development, infrastructure, enterprise information systems, and project enhancements with Bank and System-wide impact, we’d love to talk with you!

Apply at https://bit.ly/3zd1XPx. Refer to job number 268846.",607,17,8,2
6/11/2021,"Join us for a discussion on current trends in residential real estate as well as a demonstration of our Home Ownership Affordability Monitor (HOAM) in a new webinar from the ViewPoint Live series--June 22, 2pm (ET). Register now: https://bit.ly/3pAJTu4",696,26,10,3
6/12/2021,"Before you head out on June 18 to celebrate National Splurge Day, use these #financialtips to prepare to make good spending decisions. https://bit.ly/34JF5c9",513,13,7,0
6/16/2021,"If you live in the eastern United States, you no doubt felt the effects of the ransomware attack that shut down 5,500 miles of gasoline pipeline. Take On Payments describes some efforts being made to combat this type of disruptive and costly crime. https://bit.ly/3pZSmY3",515,11,4,1
6/17/2021,"Join us for a discussion on current trends in residential real estate as well as a demonstration of our Home Ownership Affordability Monitor (HOAM) in a new webinar from the ViewPoint Live series—June 22, 2pm (ET). Register now: https://bit.ly/3pAJTu4",464,19,7,0
6/18/2021,"“There are new innovations out there that show that we can design outcome-based policies that rebuild upward mobility and get people out of poverty.” Hear more from former House speaker Paul Ryan in the #WorkforceRealigned podcast series from Economy Matters, a collaboration of Social Finance, Federal Reserve Bank of Atlanta, and Federal Reserve Bank of Philadelphia. https://bit.ly/3fAyoyq",516,16,9,0
6/18/2021,"Firms’ inflation expectations for the coming year increased significantly to 3.0 percent, and although sales levels compared to ""normal times"" increased slightly, profit margins remain unchanged, according to the Atlanta Fed’s latest Business Inflation Expectations survey. https://bit.ly/3wCgPoW",299,4,3,0
6/19/2021,"We recognize #Juneteenth as a day of celebration, of moving forward and breaking through obstacles and systems that have prevented full employment and economic welfare in all our communities.",1249,62,38,1
6/19/2021,"We recognize #Juneteenth as a day of celebration, of moving forward and breaking through obstacles and systems that have prevented full employment and economic welfare in all our communities.",848,52,34,1
6/18/2021,"Firmsâ€™ inflation expectations for the coming year increased significantly to 3.0 percent, and although sales levels compared to ""normal times"" increased slightly, profit margins remain unchanged, according to the Atlanta Fedâ€™s latest Business Inflation Expectations survey. https://bit.ly/3wCgPoW",243,4,3,0
6/18/2021,"â€œThere are new innovations out there that show that we can design outcome-based policies that rebuild upward mobility and get people out of poverty.â€ Hear more from former House speaker Paul Ryan in the #WorkforceRealigned podcast series from Economy Matters, a collaboration of Social Finance, Federal Reserve Bank of Atlanta, and Federal Reserve Bank of Philadelphia. https://bit.ly/3fAyoyq",428,16,9,0
6/17/2021,"Join us for a discussion on current trends in residential real estate as well as a demonstration of our Home Ownership Affordability Monitor (HOAM) in a new webinar from the ViewPoint Live seriesâ€”June 22, 2pm (ET). Register now: https://bit.ly/3pAJTu4",385,19,7,0
6/16/2021,"If you live in the eastern United States, you no doubt felt the effects of the ransomware attack that shut down 5,500 miles of gasoline pipeline. Take On Payments describes some efforts being made to combat this type of disruptive and costly crime. https://bit.ly/3pZSmY3",482,8,4,1
6/12/2021,"Before you head out on June 18 to celebrate National Splurge Day, use these #financialtips to prepare to make good spending decisions. https://bit.ly/34JF5c9",471,13,7,0
6/11/2021,"Join us for a discussion on current trends in residential real estate as well as a demonstration of our Home Ownership Affordability Monitor (HOAM) in a new webinar from the ViewPoint Live series--June 22, 2pm (ET). Register now: https://bit.ly/3pAJTu4",665,26,10,3
6/11/2021,"A safe and efficient payments system is one of the Atlanta Fedâ€™s top priorities, and weâ€™re looking for the right person to help us keep it that way. The platform engineer, who will work within our Retail Payments Office, will help manage components and functions in the development and support areas. This person will also direct analysts and/or developers regarding the development and implementation of automated solutions for existing and new systems.

If you can perform research activities with a focus on complex business systems, automated systems development, infrastructure, enterprise information systems, and project enhancements with Bank and System-wide impact, weâ€™d love to talk with you!

Apply at https://bit.ly/3zd1XPx. Refer to job number 268846.",534,15,6,2
6/10/2021,Whatâ€™s behind the reduction in credit card debt in 2020? Read Take On Payments to learn what the Atlanta Fedâ€™s Survey of Consumer Payment Choice and the Federal Reserveâ€™s Survey of Household Economics and Decisionmaking can tell us. https://bit.ly/3g0knvf,448,15,5,1
6/9/2021,Read a new paper about eviction filings that occurred during the pandemic in the Atlanta metro area. The authors find that a neighborhoodâ€™s racial composition and median income serve as strong indicators of pandemic eviction filings. https://bit.ly/3uPpdPY #EveryonesEconomy,803,36,12,4
6/8/2021,Are wage pressures among the newly employed in low-wage service occupations the result of normal economic forces? This Policy Hub article examines how these pressures reflect demand surges for workers in occupations particularly hard hit by pandemic-induced economic shutdowns. https://bit.ly/34Mur4u,279,7,5,1
6/8/2021,Rising prices and shrinking inventories are among the factors making home ownership less affordable for median-income households. This article discusses the Home Ownership Affordability Monitorâ€™s newest findings. https://bit.ly/3phnaDc,265,5,4,0
6/7/2021,Students from disadvantaged backgrounds face especially steep odds of gaining a foothold in the professional world. This Economy Matters article looks at some programs seeking to level the playing field. https://bit.ly/2RcLJop #EveryonesEconomy,588,29,18,1
2/27/2021,"Michael Duren, assistant vice president in our Retail Payments Office, explains what #BlackHistoryMonth means to him.",703,25,15,0
6/7/2021,Have boomers taken to shopping online more since the pandemic began? How do they compare to millennials? Read Take On Payments to learn what the 2020 Survey of Consumer Payment Choice says about the changing payment behaviors of different generations. https://bit.ly/2RY4ah3,502,14,4,1
6/6/2021,"E-commerce is altering consumer purchase behavior and fueling higher demand for industrial space in the United States, but momentum may be changing. This article examines possible causes behind an emerging rise in vacancies. https://bit.ly/34DzvrP",550,10,7,0
6/6/2021,The COVID pandemic scrambled the calculus of many industries. Was the retail real estate market among them? A new Policy Hub: Macroblog looks at recent data to determine how retail real estate has fared. https://bit.ly/3g3WqBR,588,12,6,1
6/5/2021,"Exploring one aspect of the trade shock brought on by WWI, the author of this working paper finds that the demand shock that emanated from belligerent countries caused drastic increases in wages and consumer prices, as well as a reallocation of labor, in neutral Spain. https://bit.ly/2SRoIrG",307,6,5,0
